iceberg_id,day,lat,lon,wind_u,wind_v,current_u,current_v,source
A76C,0,-57.18490082036625,-32.028719821331535,-5.686557769775391,9.416141510009766,0.15,0.01,synthetic_physics
A76C,1,-57.019849867472814,-31.965961783499825,-5.686557769775391,9.416141510009766,0.15,0.01,synthetic_physics
A76C,2,-56.87452097081231,-31.92618020172264,-5.686557769775391,9.416141510009766,0.15,0.01,synthetic_physics
A76C,3,-56.702319664814326,-31.87846915824328,-5.686557769775391,9.416141510009766,0.15,0.01,synthetic_physics
A76C,4,-56.545303446658025,-31.83311881311568,-5.653598785400391,9.364627838134766,0.15,0.01,synthetic_physics
A76C,5,-56.39776445345246,-31.790154346804023,-5.653598785400391,9.364627838134766,0.15,0.01,synthetic_physics
A76C,6,-56.24091052045261,-31.729467174937657,-5.653598785400391,9.364627838134766,0.15,0.01,synthetic_physics
A76C,7,-56.08505834579149,-31.66918677198695,-5.653598785400391,9.364627838134766,0.15,0.01,synthetic_physics
A76C,8,-55.92637903053662,-31.61556623700937,-5.621860504150391,9.313358306884766,0.15,0.01,synthetic_physics
A76C,9,-55.776327194131085,-31.56491910957782,-5.621860504150391,9.313358306884766,0.15,0.01,synthetic_physics
A76C,10,-55.63176809599123,-31.501633856197564,-5.621860504150391,9.313358306884766,0.15,0.01,synthetic_physics
A76C,11,-55.48889079307136,-31.44108441546604,-5.621860504150391,9.313358306884766,0.15,0.01,synthetic_physics
A76C,12,-55.32976653976886,-31.402318457347715,-5.621860504150391,9.313358306884766,0.15,0.01,synthetic_physics
A76C,13,-55.18214188107804,-31.386841446426565,-5.621860504150391,9.313358306884766,0.15,0.01,synthetic_physics
A76C,14,-55.042620044570754,-31.32646100078851,-5.553501129150391,9.240360260009766,0.15,0.01,synthetic_physics
A76C,15,-54.900004452923405,-31.26342436809202,-5.553501129150391,9.240360260009766,0.15,0.01,synthetic_physics
A76C,16,-54.74689305337448,-31.20604547562923,-5.553501129150391,9.240360260009766,0.15,0.01,synthetic_physics
A76C,17,-54.59755032511838,-31.142265880486047,-5.553501129150391,9.240360260009766,0.15,0.01,synthetic_physics
A76C,18,-54.4437656708558,-31.092459067046512,-5.480014801025391,9.164920806884766,0.15,0.01,synthetic_physics
A76C,19,-54.30487800751972,-31.031734501976292,-5.480014801025391,9.164920806884766,0.15,0.01,synthetic_physics
A76C,20,-54.15566601004744,-30.97764313914784,-5.480014801025391,9.164920806884766,0.15,0.01,synthetic_physics
A76C,21,-53.99559184308495,-30.92109159139701,-5.480014801025391,9.164920806884766,0.15,0.01,synthetic_physics
A76C,22,-53.85462883240098,-30.87428032161,-5.358921051025391,9.078983306884766,0.15,0.01,synthetic_physics
A76C,23,-53.70509417221116,-30.809682898657865,-5.358921051025391,9.078983306884766,0.15,0.01,synthetic_physics
A76C,24,-53.54753726462871,-30.75076694935712,-5.358921051025391,9.078983306884766,0.15,0.01,synthetic_physics
A76C,25,-53.39796163729581,-30.69779825689666,-5.358921051025391,9.078983306884766,0.15,0.01,synthetic_physics
A76C,26,-53.2513054339332,-30.63801749362624,-5.358921051025391,9.078983306884766,0.15,0.01,synthetic_physics
A76C,27,-53.115334404401246,-30.58071192248351,-5.221958160400391,8.990116119384766,0.15,0.01,synthetic_physics
A76C,28,-52.96270360876689,-30.523404222427423,-5.221958160400391,8.990116119384766,0.15,0.01,synthetic_physics
A76C,29,-52.8167,-30.4667,-5.221958160400391,8.990116119384766,0.15,0.01,synthetic_physics
A81,0,-62.217288427860986,-59.8373046812365,3.98702621459961,5.908084869384766,0.1307835002918714,0.01,synthetic_physics
A81,1,-62.13214198120291,-59.46763213280389,3.5368309020996094,5.608524322509766,0.131521436162908,0.01,synthetic_physics
A81,2,-62.02098944190022,-59.1565901698355,3.1567039489746094,6.661991119384766,0.1324847581701981,0.01,synthetic_physics
A81,3,-61.910937624367726,-58.8415449763267,2.5551414489746094,6.915164947509766,0.133438540588813,0.01,synthetic_physics
A81,4,-61.77388961358542,-58.57439811356618,2.9267234802246094,7.874393463134766,0.134626290015593,0.01,synthetic_physics
A81,5,-61.624641613750974,-58.22891148618606,3.2275047302246094,8.647342681884766,0.1359197726808249,0.01,synthetic_physics
A81,6,-61.46507907555265,-57.912721051607335,2.9674949645996094,8.815311431884766,0.137302648011877,0.01,synthetic_physics
A81,7,-61.313354830895065,-57.59693444487387,3.2131004333496094,10.102176666259766,0.1386175914655761,0.01,synthetic_physics
